Rifugiato,ID Annuncio,Titolo Annuncio,Indirizzo,Somiglianza,latitudine,longitudine
fcarlson@example.net,201,Insegnante di supporto per certificazioni linguistiche,"Milano, MI, Via Monte Rosa, 15, 20149",8.912886663821075,45.4719,9.15311
fcarlson@example.net,200,Supporto amministrativo per startup innovativa,"Venezia, VE, Via Startup, 11, 30121",7.135815831304917,45.49895,12.62587
fcarlson@example.net,85,Tecnico riparazioni elettrodomestici - Formazione offerta,"Roma, RM, Via Riparazione, 22, 00199",7.11658187300572,41.9103,12.45086
meyersjason@example.org,202,Creazione di contenuti multilingue per aziende,"Milano, MI, Corso Garibaldi, 23, 20121",10.482390188126542,45.47304,9.18365
meyersjason@example.org,129,Creatore di contenuti multilingue per aziende,"Palermo, PA, Via Flotta, 56, 90139",9.038126547272268,38.11197,13.35061
meyersjason@example.org,119,Installatore di impianti idrici - Lavoro regolare,"Palermo, PA, Via Acqua, 56, 90139",7.129871955770838,38.11377,13.36634
jessica52@example.org,185,Verniciatore industriale - Contratto immediato,"Torino, TO, Via Vernici, 78, 10121",8.279748049383201,45.06777,7.67355
jessica52@example.org,183,Tecnico manutenzione macchinari industriali,"Napoli, NA, Via Manutenzione, 33, 80133",8.198193381397923,40.85104,14.2235
jessica52@example.org,15,Elettricista industriale - Inserimento diretto in azienda,"Torino, TO, Corso Francia, 45, 10139",8.069053845540212,45.07584,7.65758
ryancherry@example.org,204,Animatore/trice per eventi per bambini,"Milano, MI, Via Torino, 67, 20123",10.01377375546671,45.46052,9.18251
ryancherry@example.org,215,Animatore/Animatrice per eventi e supporto educativo - Contratto immediato!,"Roma, RM, Via Appia Nuova, 89, 00183",8.44424201041296,41.88378,12.51207
ryancherry@example.org,166,Responsabile animazione in villaggio turistico,"Verona, VR, Via Divertimento, 22, 37121",6.199678233085541,45.44163,10.99597
rlee@example.net,205,Tecnico Informatico Junior,"Milano, MI, Via Monte Napoleone, 12, 20121",7.314986494677943,45.4685,9.19502
rlee@example.net,177,Assistente tecnico per installazione software,"Verona, VR, Via Software, 11, 37121",6.955533095130004,45.43588,10.98691
rlee@example.net,75,Specialista reti e telecomunicazioni - Posizione immediata,"Napoli, NA, Via Connessa, 56, 80132",6.551603378953879,40.83626,14.24545
zacharyjackson@example.net,208,Gestore/a Relazioni con i Clienti - Inizio Immediato!,"Torino, TO, Corso Vittorio Emanuele II, 30, 10121",9.06335924634919,45.06065,7.68561
zacharyjackson@example.net,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,"Napoli, NA, Via Toledo, 56, 80134",6.773174096770668,40.8456,14.24932
zacharyjackson@example.net,56,Specialista in Creazione di Corsi Online - Inizio immediato!,"Napoli, NA, Via Estetica, 34, 80133",6.635380321892851,40.84014,14.25227
rachel19@example.com,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,"Bologna, BO, Via Santo Stefano, 120, 40125",9.774827201397589,44.48638,11.35405
rachel19@example.com,213,Designer 3D e Specialista SEO - Inizio immediato!,"Roma, RM, Via del Tritone, 56, 00187",8.1583763215557,41.90253,12.484
rachel19@example.com,173,Progettista CAD per aziende industriali,"Torino, TO, Via Disegni, 33, 10121",7.388376015795494,45.06907,7.66947
xarmstrong@example.com,210,Grafico/a Designer - Inizio immediato!,"Milano, MI, Corso Buenos Aires, 120, 20127",8.725288965236052,45.4977,9.22611
xarmstrong@example.com,78,Grafico/a freelance - Collaborazione creativa,"Palermo, PA, Via Colori, 34, 90139",8.209692498148032,38.1216,13.34446
xarmstrong@example.com,173,Progettista CAD per aziende industriali,"Torino, TO, Via Disegni, 33, 10121",7.044055372406628,45.06907,7.66947
swiley@example.org,211,Social Media Manager - Lavoro da remoto,"Roma, RM, Via del Babuino, 50, 00187",8.339932825256318,41.90855,12.47892
swiley@example.org,135,Organizzatore di spazi e Creatore di contenuti - Inizio immediato!,"Torino, TO, Via Paesaggi, 78, 10121",6.435866583329744,45.06491,7.69233
swiley@example.org,80,Addetto/a social media marketing - Contratto iniziale,"Venezia, VE, Via Social, 15, 30121",5.794804703029836,45.4441,12.38098
gina54@example.org,10,Addetto/a catering per eventi - Lavoro part-time,"Palermo, PA, Via Maqueda, 25, 90133",7.255745590256912,38.11089,13.36469
gina54@example.org,163,Aiuto chef per resort stagionale,"Napoli, NA, Via Cucina, 33, 80133",6.446476242262438,40.84242,14.25106
gina54@example.org,109,Chef di partita - Menù stagionali e freschi,"Genova, GE, Via Stagioni, 15, 16128",6.2897462527477455,44.41459,8.94887
amberchandler@example.org,212,Addetto/a alle pulizie industriali - Inizio immediato!,"Torino, TO, Corso Vittorio Emanuele II, 101, 10123",8.42584057818101,45.06666,7.6673
amberchandler@example.org,124,Graphic Designer - Creazione Loghi e Brand Identity,"Torino, TO, Via Logistica, 67, 10121",7.607869902289179,45.06777,7.67355
amberchandler@example.org,21,Addetto/a alla pulizia industriale,"Milano, MI, Via Ripamonti, 23, 20141",7.440432203878203,45.44797,9.1977
kevin28@example.org,111,Tinteggiatore con esperienza in decorazioni,"Milano, MI, Via Colore, 12, 20122",7.604931327319597,45.45573,9.19284
kevin28@example.org,119,Installatore di impianti idrici - Lavoro regolare,"Palermo, PA, Via Acqua, 56, 90139",7.478954830963867,38.11377,13.36634
kevin28@example.org,128,Carrellista per stoccaggio merci - Ambiente dinamico,"Genova, GE, Via Merci, 15, 16128",7.255288695108682,44.4776,9.10188
joharper@example.net,48,Insegnante di italiano per stranieri - Progetto inclusivo,"Genova, GE, Via Multicultura, 11, 16128",8.60903137429653,44.40167,8.93396
joharper@example.net,208,Gestore/a Relazioni con i Clienti - Inizio Immediato!,"Torino, TO, Corso Vittorio Emanuele II, 30, 10121",7.661522942904089,45.06065,7.68561
joharper@example.net,18,Tecnico del legno per lavori artigianali - Opportunità locale,"Verona, VR, Via Mazzini, 15, 37121",7.352505673314028,45.44165,10.99665
diazkelly@example.org,184,Addetto/a lavorazione legno - Formazione inclusa,"Firenze, FI, Via Legno, 67, 50123",9.607209292398476,43.77425,11.24721
diazkelly@example.org,18,Tecnico del legno per lavori artigianali - Opportunità locale,"Verona, VR, Via Mazzini, 15, 37121",8.566120393580832,45.44165,10.99665
diazkelly@example.org,181,Operaio/a lavorazione ceramica - Full time,"Milano, MI, Via Ceramica, 12, 20122",7.5282287287925715,45.46691,9.19957
amybowman@example.org,213,Designer 3D e Specialista SEO - Inizio immediato!,"Roma, RM, Via del Tritone, 56, 00187",9.906456404929598,41.90253,12.484
amybowman@example.org,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,"Bologna, BO, Via Santo Stefano, 120, 40125",7.660193638495999,44.48638,11.35405
amybowman@example.org,176,Specialista SEO e digital marketing,"Bologna, BO, Via Web, 22, 40125",6.982010477951962,44.49007,11.35394
sara66@example.net,77,Supporto tecnico hardware - Inizio immediato,"Verona, VR, Via Circuito, 11, 37121",9.28503255539236,45.44163,10.99597
sara66@example.net,177,Assistente tecnico per installazione software,"Verona, VR, Via Software, 11, 37121",9.117649765780383,45.43588,10.98691
sara66@example.net,85,Tecnico riparazioni elettrodomestici - Formazione offerta,"Roma, RM, Via Riparazione, 22, 00199",8.204179051624765,41.9103,12.45086
sharpgarrett@example.org,214,Meccanico/a per riparazioni veicoli - Inizio immediato!,"Torino, TO, Corso Giulio Cesare, 70, 10154",7.070839018504312,45.08881,7.69169
sharpgarrett@example.org,76,Programmatore junior - Opportunità in team esperto,"Bologna, BO, Via Codici, 22, 40125",6.038461384009584,44.49007,11.35394
sharpgarrett@example.org,86,Calzolaio per bottega artigianale - Posizione stabile,"Bologna, BO, Via Scarpe, 11, 40125",5.9735987993513255,44.49513,11.34278
joshua57@example.net,204,Animatore/trice per eventi per bambini,"Milano, MI, Via Torino, 67, 20123",9.655801778322864,45.46052,9.18251
joshua57@example.net,215,Animatore/Animatrice per eventi e supporto educativo - Contratto immediato!,"Roma, RM, Via Appia Nuova, 89, 00183",9.587082290946327,41.88378,12.51207
joshua57@example.net,166,Responsabile animazione in villaggio turistico,"Verona, VR, Via Divertimento, 22, 37121",6.244639043476143,45.44163,10.99597
jill46@example.net,25,Interpretariato in Tempo Reale - Contratto Immediato!,"Firenze, FI, Via Pisana, 12, 50143",8.736584674870908,43.7707,11.23939
jill46@example.net,219,Addetto/a al lavaggio e trattamenti benessere - Contratto immediato!,"Torino, TO, Via Po, 34, 10124",7.1023689810420265,45.06544,7.69884
jill46@example.net,123,Addetto/a trasporti pesanti - Retribuzione garantita,"Napoli, NA, Via Trasporti, 33, 80133",6.514397237258872,40.84014,14.25227
perkinsvirginia@example.org,186,Personal Trainer e Istruttore Sportivo - Inizio immediato!,"Roma, RM, Viale del Campo Sportivo, 15, 00100",10.358714186459189,41.87664,12.57567
perkinsvirginia@example.org,150,Personal Trainer - Inizio Immediato!,"Venezia, VE, Via Lavoro, 78, 30121",9.939154095542278,45.39603,11.99443
perkinsvirginia@example.org,71,Tecnico informatico junior - Formazione inclusa,"Roma, RM, Via Digitale, 12, 00199",7.2341540257928445,41.93122,12.51152
cantuanthony@example.com,134,Collaboratore per progetti di agricoltura biologica,"Firenze, FI, Via Bio, 67, 50123",6.753742980819443,43.77425,11.24721
cantuanthony@example.com,199,Coordinatore progetti comunitari - Contratto diretto,"Quadrelle, AV, Via Municipio, 15, 83020",6.616688805360002,40.94711,14.63907
