Rifugiato,ID Annuncio,Titolo Annuncio,Somiglianza
alexandria35@example.com,82,Falegname cercasi - Contratto stabile,0.6910294
alexandria35@example.com,221,Magazziniere con esperienza - Turni flessibili,0.53789526
alexandria35@example.com,70,Portiere di notte - Contratto a norma,0.5373641
allendeborah@example.net,115,Editor Video Junior - Inizio immediato!,0.8117658
amberchandler@example.org,212,Addetto/a alle pulizie industriali - Inizio immediato!,0.7032304
amberchandler@example.org,124,Graphic Designer - Creazione Loghi e Brand Identity,0.66974217
amberchandler@example.org,21,Addetto/a alla pulizia industriale,0.64551026
amybowman@example.org,213,Designer 3D e Specialista SEO - Inizio immediato!,0.83582157
amybowman@example.org,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,0.67525846
amybowman@example.org,169,Web Developer e Creatore di Contenuti - Inizio immediato!,0.60150325
anthonycline@example.com,284,Tecnico riparazione elettrodomestici,0.8537828
anthonycline@example.com,622,Tecnico riparazione elettrodomestici,0.85309297
anthonycline@example.com,291,Tecnico riparazione elettrodomestici,0.838803
anthonyjohnson@example.net,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,1.0257823
anthonyjohnson@example.net,56,Specialista in Creazione di Corsi Online - Inizio immediato!,0.95848024
anthonyjohnson@example.net,55,Addetto/a vendite online - Contratto a progetto,0.6329744
bishopclaire@example.org,181,Operaio/a lavorazione ceramica - Full time,0.6803573
bishopclaire@example.org,217,Artista Scultore/a - Opportunità creativa immediata!,0.6691825
bishopclaire@example.org,190,Operaio/a produzione alimentare - Turni mattutini,0.638623
blakenunez@example.org,261,Tecnico saldatore,0.7706546
blakenunez@example.org,246,Tecnico saldatore,0.7693029
blakenunez@example.org,255,Tecnico saldatore,0.7681094
cantuanthony@example.com,134,Collaboratore per progetti di agricoltura biologica,0.6102448
cantuanthony@example.com,199,Coordinatore progetti comunitari - Contratto diretto,0.5959309
cantuanthony@example.com,245,Assistente agli anziani - Empatia e professionalità,0.5819328
carla62@example.org,195,Consulente Nutrizionale e Specialista in Diete - Contratto immediato!,0.6425246
carla62@example.org,139,Operaio/a vinicolo in cantina - Vendemmia inclusa,0.56493384
carla62@example.org,32,Operaio/a agricolo - Contratto regolare e formazione,0.54695284
codytucker@example.net,78,Grafico/a freelance - Collaborazione creativa,0.70484483
codytucker@example.net,210,Grafico/a Designer - Inizio immediato!,0.6674958
codytucker@example.net,208,Gestore/a Relazioni con i Clienti - Inizio Immediato!,0.63528425
dennishall@example.org,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,1.0257449
dennishall@example.org,56,Specialista in Creazione di Corsi Online - Inizio immediato!,0.9583877
dennishall@example.org,55,Addetto/a vendite online - Contratto a progetto,0.63352185
dennisjose@example.net,164,Sarta/o per riparazioni e cucito ,0.7015167
dennisjose@example.net,182,Addetto/a cucitura abiti sartoriali,0.69217765
dennisjose@example.net,216,Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!,0.69001144
diazkelly@example.org,184,Addetto/a lavorazione legno - Formazione inclusa,0.85264486
diazkelly@example.org,18,Tecnico del legno per lavori artigianali - Opportunità locale,0.76610464
diazkelly@example.org,181,Operaio/a lavorazione ceramica - Full time,0.6965486
fcarlson@example.net,201,Insegnante di supporto per certificazioni linguistiche,0.81168395
fcarlson@example.net,85,Tecnico riparazioni elettrodomestici - Formazione offerta,0.65063286
fcarlson@example.net,148,Mediatore linguistico e culturale - Lavoro dinamico,0.64861375
garciachristina@example.net,82,Falegname cercasi - Contratto stabile,0.6948673
garciachristina@example.net,831,Tecnico saldatore,0.6581391
garciachristina@example.net,264,Tecnico saldatore,0.65781564
gina54@example.org,10,Addetto/a catering per eventi - Lavoro part-time,0.6547832
gina54@example.org,163,Aiuto chef per resort stagionale,0.6014263
gina54@example.org,109,Chef di partita - Menù stagionali e freschi,0.5783162
hbenjamin@example.net,245,Assistente agli anziani - Empatia e professionalità,0.86124563
